SID,Nombre,Latitud,Longitud,Elevacion,geometry
155,Cachapoal 5 km a. Jta Cortaderal,-34.3464,-70.3764,1110.0,POINT (-70.3764 -34.3464)
1146,Coquimbo [El Panul],-29.99874,-71.39851999999998,129.0,POINT (-71.39851999999998 -29.99874)
397,Río Serrano en Desembocadura,-51.3328,-73.1092,11.0,POINT (-73.1092 -51.3328)
559,Remehue,-40.522203999999995,-73.063654833,73.0,POINT (-73.063654833 -40.522204)
367,Lago Cachet 2,-47.1981,-73.25,424.0,POINT (-73.25 -47.1981)
382,Lago Dickson,-50.8228,-73.1125,200.0,POINT (-73.1125 -50.8228)
621,Olmué,-33.021944444,-71.186388889,153.0,POINT (-71.186388889 -33.021944444)
845,Longaví Sur,-35.953055556,-71.60805555600001,172.0,POINT (-71.60805555600001 -35.953055556)
246,Río Diguillin en San Lorenzo,-36.9244,-71.5756,720.0,POINT (-71.57559999999999 -36.9244)
165,Cachapoal en Pte Arqueado,-34.2731,-71.3717,117.0,POINT (-71.3717 -34.2731)
419,Villa Tehuelche,-52.4414,-71.4022,191.0,POINT (-71.40219999999999 -52.4414)
847,Pencahue,-35.455833333,-71.772222222,70.0,POINT (-71.772222222 -35.455833333)
136,Estero Yerba Loca antes Junta San Francisco,-33.3414,-70.3636,1344.0,POINT (-70.36360000000001 -33.3414)
303,Cautín en Cajón,-38.6867,-72.5028,138.0,POINT (-72.50279999999999 -38.6867)
733,Negrete,-37.595277778,-72.466666667,98.0,POINT (-72.466666667 -37.595277778)
381,Río Paine en Parque Nacional 2,-50.9603,-72.7925,83.0,POINT (-72.7925 -50.9603)
692,Peumo Norte Ex Las Cabras ,-34.326944444,-71.25888888899999,150.0,POINT (-71.25888888899999 -34.326944444)
11,Belén,-18.4669,-69.5167,3244.0,POINT (-69.5167 -18.4669)
357,Río Aysen en Puerto Aysen,-45.4058,-72.6231,6.0,POINT (-72.62309999999999 -45.4058)
736,Bulnes,-36.735555556,-72.366944444,77.0,POINT (-72.366944444 -36.735555556)
853,Parral,-36.213333333,-71.7375,208.0,POINT (-71.7375 -36.213333333)
385,Cerro Guido,-50.8986,-72.3314,226.0,POINT (-72.3314 -50.8986)
6,Lluta Alcérreca,-18.0036,-69.6331,3595.0,POINT (-69.6331 -18.0036)
418,Río Penitente en Morro Chico,-52.0511,-71.4247,169.0,POINT (-71.4247 -52.0511)
432,Bahia Yendegaia,-54.8817,-68.6825,10.0,POINT (-68.6825 -54.8817)
425,Cameron,-53.6369,-69.6506,9.0,POINT (-69.6506 -53.6369)
203,Melado en el Salto,-35.8842,-71.0192,720.0,POINT (-71.0192 -35.8842)
665,HUELQUEN,-33.862083333,-70.639194444,440.0,POINT (-70.639194444 -33.862083333)
249,Estero Bellavista en Tomé,-36.6394,-72.9503,11.0,POINT (-72.9503 -36.6394)
91,Choapa en Cuncumén,-31.9667,-70.5944,1211.0,POINT (-70.59439999999999 -31.9667)
707,Santa Cruz,-34.690833333,-71.4,174.0,POINT (-71.40000000000001 -34.690833333)
8,Putre,-18.195,-69.5589,3565.0,POINT (-69.55889999999999 -18.195)
361,Río Ibañez en Desembocadura,-46.2692,-71.9908,210.0,POINT (-71.99079999999999 -46.2692)
404,Río Verde,-52.6042,-71.5019,12.0,POINT (-71.50190000000001 -52.6042)
263,BioBio en Rucalhue,-37.7106,-71.9017,262.0,POINT (-71.90170000000001 -37.7106)
245,Canal de la Luz en Chillan,-36.5967,-72.1003,129.0,POINT (-72.1003 -36.5967)
674,Olivar Alto,-34.203055556,-70.824166667,458.0,POINT (-70.824166667 -34.203055556)
528,Punitaqui,-30.78,-71.25611111100001,216.0,POINT (-71.25611111100001 -30.78)
164,San Fernando,-34.5983,-70.9686,358.0,POINT (-70.9686 -34.5983)
429,Russfin,-53.7594,-69.1892,222.0,POINT (-69.1892 -53.7594)
843,Longaví Norte,-36.053611111,-71.68333333300001,182.0,POINT (-71.68333333300001 -36.053611111)
12,Ticnamar en Angostura,-18.5133,-69.5656,3003.0,POINT (-69.5656 -18.5133)
386,Lago Pehoe,-51.0783,-72.9933,41.0,POINT (-72.9933 -51.0783)
170,Tinguiririca Los Briones,-34.7186,-70.8267,562.0,POINT (-70.8267 -34.7186)
710,STA. BRISILA,-34.298080556,-71.3238,132.0,POINT (-71.32380000000001 -34.298080556)
609,Putaendo,-32.593694444,-70.72611111100001,877.0,POINT (-70.72611111100001 -32.593694444)
533,Paihuano,-30.046944444,-70.51083333300001,1210.0,POINT (-70.51083333300001 -30.046944444)
901,Vicuña,-30.038333333,-70.696666667,631.0,POINT (-70.696666667 -30.038333333)
297,Río Leiva en Puente Camino a Contulmo,-37.8131,-73.3922,31.0,POINT (-73.3922 -37.8131)
719,Coihueco,-36.557222222,-71.817222222,227.0,POINT (-71.817222222 -36.557222222)
183,Palos en Junta con Colorado,-35.2744,-71.0156,609.0,POINT (-71.01560000000001 -35.2744)
1127,La Serena [El Romeral],-29.75406,-71.25744,159.0,POINT (-71.25744 -29.75406)
906,San Rafael,-35.303611111,-71.475833333,153.0,POINT (-71.475833333 -35.303611111)
889,Yerbas Buenas,-35.743888889000004,-71.573055556,152.0,POINT (-71.573055556 -35.743888889)
143,Quebrada de Macul,-33.5017,-70.5144,962.0,POINT (-70.51439999999999 -33.5017)
886,Coronel de Maule,-36.059091833000004,-72.477688833,166.0,POINT (-72.477688833 -36.059091833)
511,Monte Patria,-30.682222221999996,-70.939444444,565.0,POINT (-70.939444444 -30.682222222)
158,Canal Sauzal en Puente Termas,-34.2403,-70.5506,757.0,POINT (-70.5506 -34.2403)
409,Leñadura Alta,-53.2325,-71.1178,402.0,POINT (-71.1178 -53.2325)
407,Lago Parrillar,-53.4025,-71.2497,325.0,POINT (-71.2497 -53.4025)
156,Pangal en Pangal,-34.2467,-70.3281,1471.0,POINT (-70.32810000000001 -34.2467)
222,Longaví Quiriquina,-36.2303,-71.4569,458.0,POINT (-71.4569 -36.2303)
268,Río Duqueco en Cerrillos,-37.5422,-72.3119,126.0,POINT (-72.31189999999999 -37.5422)
142,Terraza Oficinas Centrales DGA,-33.4486,-70.6444,565.0,POINT (-70.6444 -33.4486)
374,Candelario Mancilla,-48.8775,-72.7394,297.0,POINT (-72.7394 -48.8775)
244,Río Chillan en Esperanza N 2,-36.8,-71.6608,586.0,POINT (-71.66079999999999 -36.8)
703,Codegua,-34.110277778000004,-70.653611111,513.0,POINT (-70.653611111 -34.110277778)
700,Lolol,-34.713611111,-71.629722222,115.0,POINT (-71.629722222 -34.713611111)
876,Maule,-35.576666667,-71.67888888899999,119.0,POINT (-71.67888888899999 -35.576666667)
406,Río San Juan en Desembocadura,-53.65,-70.9667,8.0,POINT (-70.9667 -53.65)
619,Quillota,-32.892388889,-71.206722222,143.0,POINT (-71.206722222 -32.892388889)
874,Villa Alegre,-35.696111111,-71.682222222,129.0,POINT (-71.68222222199999 -35.696111111)
593,Petorca,-32.396666667,-71.02944444399999,253.0,POINT (-71.02944444399999 -32.396666667)
330,Negro en Chahuilco,-40.7136,-73.2278,43.0,POINT (-73.2278 -40.7136)
30,Linzor,-22.2297,-68.0228,4102.0,POINT (-68.0228 -22.2297)
676,Palmilla,-34.546666667,-71.395,153.0,POINT (-71.395 -34.546666667)
391,Lago el Toro en Estancia Paine,-51.16666666666666,-72.95,32.0,POINT (-72.95 -51.16666666666666)
891,Sagrada Familia,-34.996944444,-71.374166667,164.0,POINT (-71.374166667 -34.996944444)
726,San Ignacio,-36.843611111,-72.124722222,187.0,POINT (-72.124722222 -36.843611111)
32,El Tatio,-22.3711,-68.0133,4361.0,POINT (-68.0133 -22.3711)
527,Salamanca,-31.787388889000002,-70.959611111,515.0,POINT (-70.959611111 -31.787388889)
883,Santa Sofia,-35.977643,-72.359864,153.0,POINT (-72.359864 -35.977643)
390,Cerro Castillo,-51.26,-72.3272,132.0,POINT (-72.3272 -51.26)
881,Colbún,-35.662222222,-71.453611111,251.0,POINT (-71.453611111 -35.662222222)
112,Aconcagua San Felipe,-32.7572,-70.7367,639.0,POINT (-70.7367 -32.7572)
594,Cabildo,-32.362194444000004,-70.819722222,549.0,POINT (-70.819722222 -32.362194444)
852,Rauco,-34.925,-71.28305555600001,211.0,POINT (-71.28305555600001 -34.925)
732,Quillón,-36.745,-72.504722222,67.0,POINT (-72.504722222 -36.745)
600,Llayllay,-32.903333333,-70.950555556,441.0,POINT (-70.950555556 -32.903333333)
251,Estero Nonguen Frente U. Del Bio Bio,-36.8203,-73.0164,20.0,POINT (-73.0164 -36.8203)
159,Rancagua Endesa,-34.1908,-70.7508,524.0,POINT (-70.7508 -34.1908)
